year,county_FIP,topic,stance,gender,aggressiveness,temperature_avg,sentiment
2007,063,Weather Extremes,neutral,male,not aggressive,4.42079423,0.024898884288469925
2007,067,Weather Extremes,neutral,male,not aggressive,2.3298297787499997,0.020910550051927594
2007,071,Weather Extremes,neutral,male,not aggressive,-2.1620965649999997,-0.1689354734857877
2007,073,Weather Extremes,neutral,male,not aggressive,-0.19229352599999996,0.05618302286227543
2007,075,Weather Extremes,neutral,male,aggressive,-0.24326844399999997,0.02272792702289686
2007,079,Weather Extremes,believer,male,aggressive,1.0226825000000002,-0.32614572313021095
2007,081,Weather Extremes,neutral,male,not aggressive,1.600851925,0.22925572057797278
2007,083,Politics,neutral,male,aggressive,0.6162632750000001,0.11578577741583182
2007,085,Weather Extremes,neutral,undefined,not aggressive,1.4882149906666666,0.09333338259439616
2007,086,Weather Extremes,neutral,female,not aggressive,1.40632045,-0.14839357637087502
2007,087,Weather Extremes,believer,male,aggressive,0.05675894166666658,0.19931576180542357
2007,089,Global stance,believer,male,aggressive,1.63119415,0.04252224758791203
2007,091,Weather Extremes,denier,male,aggressive,-0.3676090000000003,0.2785847936868667
2007,093,Weather Extremes,neutral,male,aggressive,0.33786422000000016,0.01140992718900951
2007,095,Weather Extremes,denier,male,aggressive,-1.3006221433333336,0.21226903605565475
2007,097,Weather Extremes,neutral,male,aggressive,0.4955300010000001,-0.1702660019332712
2007,099,Weather Extremes,believer,male,aggressive,7.2568,-0.5047060569127401
2007,101,Seriousness of Gas Emissions,neutral,male,aggressive,-0.4374642500000001,0.1770622128089269
2007,103,Seriousness of Gas Emissions,neutral,female,aggressive,2.892420806666667,-0.1468709351991162
2007,107,Donald Trump versus Science,denier,male,aggressive,-3.192279,0.05087785079479218
2007,109,Weather Extremes,believer,male,not aggressive,0.48843020000000004,-0.1343025287560054
2007,111,Weather Extremes,neutral,male,aggressive,1.6251114666666666,0.2775049457947412
2007,113,Weather Extremes,neutral,male,aggressive,-0.8823399933333335,0.057608429461055356
2007,115,Significance of Pollution Awareness Events,neutral,male,not aggressive,-0.2877168410000001,-0.09437957117557527
2007,119,Donald Trump versus Science,neutral,male,not aggressive,2.669587927272728,0.057351745581626874
2007,121,Weather Extremes,neutral,male,not aggressive,2.483974304615385,0.024577812852133302
2007,123,Impact of Resource Overconsumption,believer,male,aggressive,-3.1773613333333333,-0.10317003542939418
2007,125,Politics,denier,male,aggressive,4.9821817,-0.3157659615278243
2007,127,Weather Extremes,neutral,male,aggressive,2.938117,-0.24746747763156896
2007,135,Seriousness of Gas Emissions,believer,male,not aggressive,-1.04913097,-0.5296163908004761
2007,139,Ideological Positions on Global Warming,neutral,male,not aggressive,2.6573975,-0.42447393547296525
2007,141,Weather Extremes,neutral,male,aggressive,-0.8720018,-0.1876283426046371
2007,143,Seriousness of Gas Emissions,neutral,male,aggressive,-1.1859784000000002,-0.19041200104157124
2007,149,Politics,believer,male,aggressive,0.7848050999999999,-0.4736177386522293
2007,151,Importance of Human Intervantion,neutral,male,not aggressive,4.37227046,0.35839100242853156
2007,153,Donald Trump versus Science,denier,undefined,aggressive,-2.4570638999999996,-0.15037887877225878
2007,157,Donald Trump versus Science,denier,female,aggressive,5.75839955,-0.2329538230657578
2007,161,Seriousness of Gas Emissions,believer,male,aggressive,1.6566142107499997,0.08525532412727677
2007,163,Impact of Resource Overconsumption,neutral,male,not aggressive,3.8914688999999996,0.09497688631216683
2007,169,Weather Extremes,believer,male,aggressive,-2.0351155,-0.5351851871013642
2007,177,Weather Extremes,neutral,male,not aggressive,-3.2079957,0.4817049245595932
2007,179,Weather Extremes,believer,male,aggressive,3.3264539233333337,-0.5271515440260922
2007,183,Weather Extremes,neutral,male,not aggressive,6.225681680000001,-0.06848290071487427
2007,201,Impact of Resource Overconsumption,neutral,male,aggressive,2.028757843333334,-0.3278831810156505
2007,219,Weather Extremes,neutral,male,not aggressive,2.1688535,-0.5308896864891053
2007,439,Weather Extremes,neutral,male,not aggressive,0.6898825971666666,-0.3614930272579193
2007,453,Weather Extremes,neutral,male,not aggressive,-0.24348363510000012,0.028967515766148165
2007,510,Global stance,believer,male,not aggressive,2.424665512926829,-0.10229020604612843
2007,540,Global stance,neutral,male,aggressive,4.9880732000000005,-0.08475240799903871
2007,660,Donald Trump versus Science,believer,male,aggressive,2.3001008,0.2393569949150085
2007,760,Weather Extremes,believer,male,aggressive,-2.1181889,0.4973083525896071
2008,001,Weather Extremes,believer,male,not aggressive,0.17029126397342198,-0.0289216999537672
2008,003,Weather Extremes,neutral,male,not aggressive,0.14347656134810127,-0.1123026130273753
2008,005,Weather Extremes,neutral,male,not aggressive,-1.067989592972973,0.014386663513734353
2008,007,Weather Extremes,believer,male,aggressive,0.9092296529411766,-0.10399239524605644
2008,009,Weather Extremes,neutral,male,aggressive,-0.7615086565106385,-0.005050346995286473
2008,011,Weather Extremes,neutral,male,not aggressive,-0.7843296086666667,-0.011947264425987168
2008,012,Ideological Positions on Global Warming,denier,male,not aggressive,-2.1134967149999997,-0.38138009692941394
2008,013,Weather Extremes,neutral,male,not aggressive,0.3313253880790698,-0.09754102001034605
2008,014,Global stance,neutral,male,aggressive,2.4099205,-0.7426001199007034
2008,015,Weather Extremes,believer,male,not aggressive,-0.4845633354347826,-0.05242814891642149
2008,017,Weather Extremes,neutral,male,not aggressive,-0.10506408518571435,-0.01919434413634657
2008,019,Weather Extremes,neutral,male,not aggressive,-0.5886373731136364,-0.07507472512609892
2008,021,Weather Extremes,neutral,male,not aggressive,-0.02811007311688306,0.07415580737176916
2008,023,Weather Extremes,believer,male,not aggressive,-1.15445122,-0.01323180128446333
2008,025,Weather Extremes,neutral,male,not aggressive,0.7435242359049451,0.005332228989813074
2008,027,Weather Extremes,neutral,male,not aggressive,-0.9638351281967212,-0.010568204260938397
2008,028,Weather Extremes,denier,male,aggressive,0.04829784,-0.3287936673034321
2008,029,Weather Extremes,neutral,male,not aggressive,-0.10024453402912621,-0.0791050091206089
2008,031,Weather Extremes,neutral,male,not aggressive,-0.4967824280089821,-0.08852719844223376
2008,033,Weather Extremes,neutral,male,not aggressive,-1.2259195558119123,-0.07871817861323746
2008,035,Weather Extremes,neutral,male,not aggressive,-0.36355231609774435,-0.03520242335074315
2008,037,Weather Extremes,neutral,male,not aggressive,0.39853327679814815,-0.06494415706271262
2008,039,Weather Extremes,neutral,male,not aggressive,-0.3694925229565218,-0.0009328325173979307
2008,041,Weather Extremes,neutral,male,not aggressive,-1.1805834474492756,0.08827429207676991
2008,043,Weather Extremes,neutral,male,aggressive,-0.3567776415333334,-0.12011283832108763
2008,045,Weather Extremes,neutral,male,not aggressive,0.12313542095744681,0.02928721038818154
2008,047,Weather Extremes,neutral,male,aggressive,0.6862250529834711,0.005001709848751461
2008,049,Weather Extremes,neutral,male,not aggressive,-1.1144711833510639,0.003387806601181555
2008,051,Weather Extremes,believer,male,not aggressive,-0.8435407506904763,-0.019892314997796735
2008,053,Global stance,believer,female,not aggressive,-0.17047067813768957,-0.10276976760969309
2008,055,Weather Extremes,neutral,male,not aggressive,-1.8097448724390244,-0.02165577936250019
2008,057,Weather Extremes,neutral,male,aggressive,-0.9838647861851851,-0.10783282109141495
2008,059,Weather Extremes,neutral,male,not aggressive,0.8022076164390244,-0.05566145083282955
2008,061,Weather Extremes,neutral,male,not aggressive,0.25756104807421876,-0.04799475199554109
2008,063,Weather Extremes,neutral,male,not aggressive,0.17809902116949147,-0.014542769332075735
2008,065,Weather Extremes,neutral,male,not aggressive,-1.1949404864705884,-0.03335785837339746
2008,067,Weather Extremes,neutral,male,not aggressive,-0.12228606612765962,-0.09999313704085261
2008,069,Weather Extremes,neutral,male,not aggressive,-2.745657999,-0.2608078549959357
2008,071,Weather Extremes,neutral,male,not aggressive,-0.02818665453030299,-0.014565837144112177
2008,073,Weather Extremes,neutral,male,not aggressive,0.7630833029447852,-0.057467916818119476
2008,075,Weather Extremes,neutral,male,not aggressive,0.3667900737444089,0.01700464548767078
2008,077,Weather Extremes,neutral,male,not aggressive,-1.0840320023529413,0.14749189351573985
2008,079,Weather Extremes,neutral,male,not aggressive,-0.8593301915111111,-0.14882808518431062
2008,081,Weather Extremes,neutral,male,aggressive,-0.27795024142718455,-0.027829041134895448
2008,083,Weather Extremes,neutral,male,not aggressive,0.6379907045454546,-0.04371001592227733
2008,085,Importance of Human Intervantion,believer,male,not aggressive,0.38405779652482264,-0.027868416839949513
2008,086,Weather Extremes,neutral,male,not aggressive,-0.1987656866666667,-0.043455432699318015
2008,087,Weather Extremes,neutral,male,not aggressive,-0.6150061310666667,0.010016214928886193
2008,089,Weather Extremes,believer,male,aggressive,0.7486971785714286,-0.07877101613287209
2008,091,Weather Extremes,neutral,male,not aggressive,0.8654100133666667,-0.10298055305996899
2008,093,Weather Extremes,neutral,male,not aggressive,-0.250733966060606,-0.021808536881097112
2008,095,Weather Extremes,neutral,male,not aggressive,-1.0556057202658229,-0.08909142729286551
2008,097,Weather Extremes,neutral,male,not aggressive,-0.3251684984109589,-0.029498111718045325
2008,099,Weather Extremes,believer,male,not aggressive,-1.0176351899342104,0.11571294248188928
2008,101,Weather Extremes,neutral,male,aggressive,0.7459951428813558,-0.08836540339967051
2008,103,Weather Extremes,denier,male,not aggressive,-0.6282843468085106,-0.07633314112578134
2008,105,Weather Extremes,neutral,male,not aggressive,-0.5658316907142859,-0.07363300955319811
2008,107,Weather Extremes,neutral,male,not aggressive,0.31128714566666665,-0.17131532543450032
2008,109,Weather Extremes,neutral,male,not aggressive,-1.2144985631578948,-0.14653307576318927
2008,111,Weather Extremes,neutral,male,aggressive,-0.009314847000000034,-0.10262637134182989
2008,113,Weather Extremes,neutral,male,not aggressive,-0.6646526317213115,-0.08052416283389127
2008,115,Weather Extremes,neutral,male,not aggressive,-0.3804095286754546,-0.11985754429860548
2008,117,Weather Extremes,neutral,male,not aggressive,0.428860073125,0.1516579293608214
2008,119,Weather Extremes,neutral,male,not aggressive,0.5289789988888889,-0.01848503062542344
2008,121,Weather Extremes,neutral,male,aggressive,-0.5509251805154639,-0.11307489267171723
2008,123,Weather Extremes,neutral,male,not aggressive,-1.6401543881249998,-0.040470208607465676
2008,125,Weather Extremes,neutral,male,aggressive,-0.4324631227272727,-0.130472965823783
2008,127,Seriousness of Gas Emissions,neutral,male,not aggressive,-0.7214918499999999,-0.153010670532241
2008,129,Weather Extremes,neutral,male,not aggressive,-2.5915484600000003,-0.0872840486713818
2008,131,Seriousness of Gas Emissions,denier,male,not aggressive,-0.9328063666666665,-0.17404856594716658
2008,133,Weather Extremes,believer,male,aggressive,-1.3690976704,0.22155512882073722
2008,135,Weather Extremes,neutral,male,aggressive,0.025427555555555474,0.01191206385202278
2008,137,Weather Extremes,believer,male,not aggressive,-2.635546025,-0.23276716194152833
2008,139,Weather Extremes,neutral,male,aggressive,-3.4665305600000003,-0.3689256609471639
2008,141,Weather Extremes,neutral,male,not aggressive,-2.644798405615385,0.2580444473110434
2008,143,Weather Extremes,neutral,male,not aggressive,0.6377143916666665,0.003348873551911494
2008,145,Weather Extremes,neutral,male,aggressive,-2.209030476666667,-0.03726840867466393
2008,147,Weather Extremes,neutral,male,aggressive,-2.7196973,0.009339159598426239
2008,149,Weather Extremes,neutral,male,not aggressive,-0.5879991811111112,-0.05948052470527064
2008,151,Weather Extremes,neutral,female,not aggressive,-1.7918381749999996,-0.19762489419976867
2008,153,Weather Extremes,neutral,male,aggressive,-1.6638298835135135,-0.13621950237684524
2008,155,Weather Extremes,denier,male,aggressive,-3.52653565,-0.2928851804321462
2008,157,Weather Extremes,neutral,male,aggressive,-1.1952572173076925,-0.05551939675974678
2008,159,Weather Extremes,neutral,female,not aggressive,1.0245232999999998,0.06368423237705985
2008,161,Weather Extremes,neutral,male,not aggressive,0.34757834909090896,-0.10795998867060917
2008,163,Weather Extremes,neutral,male,not aggressive,-1.2981874790909091,-0.02936958306668297
2008,165,Weather Extremes,denier,male,not aggressive,1.9769718400000003,0.22310850244045258
2008,167,Weather Extremes,believer,male,aggressive,-0.7383322963636363,-0.1549069267350014
2008,169,Ideological Positions on Global Warming,believer,male,aggressive,-0.6351795400000004,-0.08187991188844046
2008,173,Weather Extremes,neutral,male,not aggressive,0.6923372666666666,0.3771491036693886
2008,177,Weather Extremes,neutral,male,not aggressive,-1.6008623,-0.25393968085765833
2008,179,Weather Extremes,neutral,male,not aggressive,-0.1252931042058822,-0.13583201933083827
2008,181,Weather Extremes,believer,male,aggressive,-6.107697,0.2486635869264603
2008,183,Weather Extremes,neutral,male,not aggressive,-0.5456353514166666,-0.14663276469949463
2008,185,Weather Extremes,neutral,male,aggressive,3.0693772,0.6171641747236252
2008,187,Weather Extremes,neutral,male,aggressive,1.2283074285714286,-0.1326646993810628
2008,189,Weather Extremes,neutral,male,aggressive,-0.5034905812500001,-0.21040463893512884
2008,191,Donald Trump versus Science,believer,male,not aggressive,-4.405585299999999,-0.6353309581226774
2008,193,Global stance,believer,male,not aggressive,-1.8637746899999998,0.20682064758141835
2008,195,Donald Trump versus Science,believer,male,aggressive,-1.1453758,-0.3010840485056241
2008,197,Weather Extremes,neutral,female,aggressive,-5.513605275,-0.1620286821266015
2008,199,Weather Extremes,believer,male,not aggressive,5.369212999999999,-0.4187381234992634
2008,201,Weather Extremes,neutral,male,not aggressive,-0.6955579292522523,-0.08761049784531925
2008,209,Donald Trump versus Science,neutral,male,aggressive,0.90828639,-0.44837708942360355
2008,213,Weather Extremes,neutral,female,not aggressive,-4.1928782425,0.07876214177807171
2008,215,Politics,neutral,male,not aggressive,-1.3752229200000001,-0.1558852005124092
2008,219,Weather Extremes,neutral,female,not aggressive,-2.2945706199999996,-0.08022822955968427
2008,227,Politics,neutral,female,not aggressive,-3.41555842,-0.0053941686391830515
2008,235,Weather Extremes,neutral,male,aggressive,-5.092489,-0.354495020699501
2008,239,Donald Trump versus Science,neutral,male,aggressive,-3.053017,0.7642773575385412
2008,245,Weather Extremes,believer,male,aggressive,-0.7125217199999999,-0.23197468094577695
2008,255,Weather Extremes,believer,female,not aggressive,-4.2213635,-0.4587129909515381
2008,257,Weather Extremes,denier,female,aggressive,1.54229083,-0.037991681182384454
2008,261,Weather Extremes,denier,undefined,aggressive,-3.8374097,-0.4388551001310348
2008,285,Global stance,denier,male,aggressive,-6.1385837,0.6281404755310579
2008,289,Politics,believer,male,not aggressive,1.65440905,0.3510562812805176
2008,303,Donald Trump versus Science,denier,male,not aggressive,-6.936073299999999,-0.3013439920186996
2008,309,Weather Extremes,neutral,male,aggressive,2.783753966666667,-0.4966166492621103
2008,329,Weather Extremes,neutral,female,not aggressive,5.0667973,-0.4177161787509918
2008,339,Weather Extremes,denier,male,aggressive,-2.3362063175000003,-0.006700395570198733
2008,351,Seriousness of Gas Emissions,believer,female,aggressive,3.208909,0.0141880706389745
2008,355,Weather Extremes,neutral,male,aggressive,-2.07943515,-0.40369853522777555
2008,367,Weather Extremes,neutral,male,not aggressive,-10.371601,-0.5597227751970291
2008,373,Weather Extremes,believer,female,not aggressive,1.7799063250000002,-0.07905453341007235
2008,421,Weather Extremes,neutral,male,aggressive,6.4775977,-0.2470906798839569
2008,423,Weather Extremes,neutral,male,aggressive,1.55712495,-0.23341650687456128
2008,439,Weather Extremes,neutral,male,not aggressive,-0.28101257462962964,-0.09574904721433912
2008,441,Weather Extremes,neutral,male,aggressive,-4.0222116,0.5016524821043015
2008,453,Weather Extremes,neutral,male,not aggressive,0.6765455114971429,-0.08034690350395794
2008,467,Weather Extremes,neutral,female,aggressive,-1.1387528999999998,0.4144235517024994
2008,477,Weather Extremes,neutral,female,not aggressive,8.985652,0.0918637549400329
2008,491,Weather Extremes,neutral,male,not aggressive,-0.8038970825,0.11064407251820421
2008,499,Weather Extremes,neutral,male,not aggressive,1.4534213500000002,-0.3604440873622894
2008,510,Weather Extremes,neutral,male,not aggressive,-0.21095655287499993,0.07724564187970942
2008,540,Weather Extremes,believer,male,not aggressive,1.4595942963636366,-0.1376918668645801
2008,550,Donald Trump versus Science,denier,male,not aggressive,3.46265335,-0.26001509935855865
2008,600,Global stance,believer,undefined,not aggressive,0.18863039999999998,-0.28060200581550593
2008,610,Weather Extremes,neutral,male,aggressive,1.4158932650000005,0.48932213119665774
2008,630,Weather Extremes,neutral,male,not aggressive,3.6083182333333332,-0.15821971624162462
2008,650,Weather Extremes,neutral,male,not aggressive,-2.3757040666666662,-0.17534910260041556
2008,680,Donald Trump versus Science,neutral,female,aggressive,1.011949875,-0.07654308321475989
2008,683,Importance of Human Intervantion,believer,male,not aggressive,-1.2026622333333334,0.045669226500723116
2008,700,Politics,neutral,female,not aggressive,-2.0549995733333333,-0.19773859860367246
2008,710,Importance of Human Intervantion,neutral,male,not aggressive,0.5748107500000001,0.1612182775497436
2008,760,Weather Extremes,neutral,male,aggressive,2.834164006190476,-0.1311610975484579
2008,770,Importance of Human Intervantion,neutral,undefined,not aggressive,-2.433468875,-0.0496608605146408
2008,810,Weather Extremes,believer,male,not aggressive,-1.6269328914285714,0.1429164490642412
2008,830,Impact of Resource Overconsumption,believer,male,aggressive,-2.2020528,0.6550426282405853
2008,840,Weather Extremes,neutral,male,not aggressive,11.281305,0.1530025969028473
2009,001,Global stance,believer,male,not aggressive,-0.15476310675979565,0.004857123283160386
2009,003,Weather Extremes,believer,male,not aggressive,-0.26724108729934104,-0.040501262055886084
2009,005,Weather Extremes,believer,male,not aggressive,-0.2678355340230918,-0.025455185021576912
2009,007,Weather Extremes,believer,male,not aggressive,-0.09224006272861839,-0.015581552156778769
2009,009,Weather Extremes,believer,male,not aggressive,-0.07379636371451616,-0.053143514471975906
2009,011,Weather Extremes,believer,male,not aggressive,-0.1268813072581522,-0.03450313385311968
2009,012,Ideological Positions on Global Warming,denier,male,not aggressive,0.6794119142857143,-0.46000714716911323
2009,013,Global stance,believer,male,not aggressive,-0.2073170482805601,-0.013051829003585569
2009,014,Weather Extremes,believer,male,not aggressive,0.33786480083333337,0.05466144681310012
2009,015,Weather Extremes,believer,male,not aggressive,-0.6676635733774404,-0.024101829360802948
2009,017,Global stance,believer,male,not aggressive,-0.06832569641276047,-0.009648457164952747
2009,019,Global stance,believer,male,not aggressive,0.014990014120070182,-0.06464928713369722
2009,021,Global stance,believer,male,not aggressive,-0.46314916069233647,0.010792700400880192
2009,023,Weather Extremes,believer,male,not aggressive,0.2119729696871508,-0.0012613879174220666
2009,025,Weather Extremes,believer,male,not aggressive,0.00242499135838151,-0.005023216658736917
2009,027,Weather Extremes,believer,male,not aggressive,-0.0630189109415011,-0.03726152283356743
2009,028,Weather Extremes,neutral,male,not aggressive,-1.5734457657142857,-0.22186360196613128
2009,029,Weather Extremes,believer,male,not aggressive,-0.2570653959492352,-0.09530232427162559
2009,031,Weather Extremes,believer,male,not aggressive,-0.7988541065142968,-0.01303071140684511
2009,033,Global stance,believer,male,not aggressive,-0.20994972629326847,-0.015186836372165254
2009,035,Weather Extremes,believer,male,not aggressive,-0.8587143256072965,-0.047544090886465856
2009,037,Weather Extremes,believer,male,not aggressive,0.030169177340062307,-0.029617880339789286
2009,039,Weather Extremes,believer,male,not aggressive,-0.869700917956912,0.008962446128330338
2009,041,Weather Extremes,believer,male,not aggressive,-0.7455398046774648,-0.028246115639512112
2009,043,Weather Extremes,believer,male,not aggressive,-0.7537563346611111,-0.024694990018480932
2009,045,Undefined / One Word Hashtags,believer,male,not aggressive,-0.24543782056054733,0.030498041124081034
2009,047,Weather Extremes,believer,male,not aggressive,-0.13321381179008154,-0.03505482816818415
2009,049,Weather Extremes,believer,male,not aggressive,-0.7190986865364957,-0.03907278997133077
2009,051,Global stance,believer,male,not aggressive,-0.6519291406318718,0.01374749810970839
2009,053,Global stance,believer,female,not aggressive,-0.7798257055075548,-0.08273198180308611
2009,055,Weather Extremes,believer,male,not aggressive,-0.55673104008628,0.05249119356644198
2009,057,Weather Extremes,believer,male,not aggressive,-0.07610693685284278,-0.06962152592760718
2009,059,Global stance,believer,male,not aggressive,-0.04599560317259474,-0.021910325489285516
2009,061,Global stance,believer,male,not aggressive,-0.20065199129758668,0.011289078915852143
2009,063,Global stance,believer,male,not aggressive,-0.9919323516946565,-0.030494604862090924
2009,065,Weather Extremes,neutral,male,not aggressive,-0.43003987544683103,-0.03237740922336829
2009,067,Weather Extremes,believer,male,not aggressive,-0.5405044819948454,-0.056385993396479143
2009,069,Weather Extremes,believer,male,not aggressive,-0.7864210522967845,-0.022044725728078887
2009,071,Global stance,believer,male,not aggressive,0.06888246912823921,-0.03876142722168275
2009,073,Weather Extremes,believer,male,not aggressive,-0.02687344022354761,-0.03861657245290058
2009,075,Global stance,believer,male,not aggressive,-0.04971694155679542,-0.0074059624711974425
2009,077,Weather Extremes,neutral,male,not aggressive,-1.1337653221721313,-0.06725987212021245
2009,079,Weather Extremes,neutral,male,not aggressive,-0.9230440675992908,-0.041940061547340896
2009,081,Weather Extremes,believer,male,not aggressive,-0.18657227353211675,-0.06602721786495866
2009,083,Weather Extremes,believer,male,not aggressive,-0.467992151222004,-0.04450021969193498
2009,085,Global stance,believer,male,not aggressive,-0.148327170162345,-0.022042418955664438
2009,086,Importance of Human Intervantion,believer,male,not aggressive,0.6959679659200001,-0.0373642978547691
2009,087,Weather Extremes,believer,male,not aggressive,-0.19965889749164678,-0.07910882970439911
2009,089,Weather Extremes,neutral,male,not aggressive,-0.667012083627451,-0.027039751020894547
2009,091,Weather Extremes,believer,male,not aggressive,-0.24642071789086298,-0.050553008162550005
2009,093,Weather Extremes,believer,male,not aggressive,-0.6599287451431767,-0.06732560028481344
2009,095,Weather Extremes,neutral,male,not aggressive,-0.27722200465421437,-0.053893302279741324
2009,097,Weather Extremes,believer,male,not aggressive,-0.4205534949234497,-0.06427369188765454
2009,099,Weather Extremes,believer,male,not aggressive,-0.42992435350752944,-0.10236248673372793
2009,101,Weather Extremes,believer,male,not aggressive,-0.00987717623506491,-0.04416525966440999
2009,102,Global stance,neutral,male,not aggressive,-6.778222033333335,-0.0667558077017466
2009,103,Weather Extremes,neutral,male,not aggressive,-0.18330133897814208,-0.07591673788748027
2009,105,Weather Extremes,believer,male,not aggressive,-0.35202280385516305,-0.020706577410291253
2009,107,Global stance,believer,male,not aggressive,-0.04502279952626262,-0.06599823106255373
2009,109,Weather Extremes,believer,male,not aggressive,-0.6241900324776979,-0.011341546070846741
2009,111,Weather Extremes,believer,male,not aggressive,-0.39273630944375004,-0.046615577023060344
2009,113,Weather Extremes,neutral,male,not aggressive,-0.7063877571929394,-0.056700490265668646
2009,115,Weather Extremes,neutral,male,not aggressive,-0.6191767477852349,-0.07674550971385415
2009,117,Weather Extremes,neutral,male,not aggressive,0.028808811257216516,-0.08364818781083119
2009,119,Weather Extremes,believer,male,not aggressive,-0.7154518359332972,-0.06818506718457241
2009,121,Weather Extremes,believer,male,not aggressive,-0.3850452171002825,-0.0364164192798325
2009,123,Weather Extremes,believer,male,not aggressive,-0.8454455736876353,-0.04536386839108447
2009,125,Weather Extremes,neutral,male,not aggressive,-0.29725436396825394,-0.14145928190174442
2009,127,Weather Extremes,believer,male,not aggressive,-0.034950879868539377,-0.047684881634780005
2009,129,Global stance,believer,male,not aggressive,-0.8274742132594936,-0.030162580563571465
2009,131,Weather Extremes,neutral,male,not aggressive,-2.0220951917553194,-0.05268149880287453
2009,133,Importance of Human Intervantion,neutral,male,not aggressive,0.02745696496930947,-0.07746105495110576
2009,135,Weather Extremes,believer,male,not aggressive,-0.6055850965608965,-0.06046242131583097
2009,137,Weather Extremes,neutral,male,not aggressive,-1.7835922969391305,0.04174760470975259
2009,139,Weather Extremes,neutral,male,not aggressive,-1.0618840946428572,-0.07805792156864848
2009,141,Weather Extremes,neutral,male,not aggressive,-0.9867256979759036,-0.0502725904574475
2009,143,Weather Extremes,neutral,male,not aggressive,-1.5011693656626985,-0.08488080374601552
2009,145,Weather Extremes,neutral,male,not aggressive,-0.4369856357971014,0.002883195038556992
2009,147,Weather Extremes,neutral,male,not aggressive,-0.27699556267302633,-0.0012743419645380469
2009,149,Weather Extremes,neutral,male,not aggressive,-1.0195726716886226,-0.11806467341736701
2009,151,Weather Extremes,neutral,male,not aggressive,-2.1821834989583335,-0.13151982674165658
2009,153,Weather Extremes,neutral,male,not aggressive,-1.1868597691302931,-0.14176636957293837
2009,155,Weather Extremes,believer,male,not aggressive,-1.5408320507636362,-0.08377257308402618
2009,157,Weather Extremes,neutral,male,not aggressive,-0.5371299434529915,-0.07699309965015462
2009,159,Weather Extremes,believer,male,aggressive,0.029228947605633757,-0.16031751984468434
2009,161,Global stance,believer,male,not aggressive,-0.8575159878593271,0.021724917673166463
2009,163,Weather Extremes,neutral,male,not aggressive,-1.1773443583783783,0.011860566453063187
